3083;316;2.0;844706051;Stargate (1994);Action|Adventure|Sci-Fi
3086;316;2.5;1067023871;Stargate (1994);Action|Adventure|Sci-Fi
3089;316;1.0;946072147;Stargate (1994);Action|Adventure|Sci-Fi
3093;316;2.0;835062397;Stargate (1994);Action|Adventure|Sci-Fi
3094;316;5.0;830370623;Stargate (1994);Action|Adventure|Sci-Fi
3103;316;3.5;1085512648;Stargate (1994);Action|Adventure|Sci-Fi
3104;316;3.5;1178713135;Stargate (1994);Action|Adventure|Sci-Fi
3105;316;5.0;974525399;Stargate (1994);Action|Adventure|Sci-Fi
3110;316;3.5;1085512998;Stargate (1994);Action|Adventure|Sci-Fi
3117;316;4.5;1134971022;Stargate (1994);Action|Adventure|Sci-Fi
3118;316;4.0;835064937;Stargate (1994);Action|Adventure|Sci-Fi
3119;316;2.0;1051224086;Stargate (1994);Action|Adventure|Sci-Fi
3127;316;1.0;828102293;Stargate (1994);Action|Adventure|Sci-Fi
3131;316;4.0;839235239;Stargate (1994);Action|Adventure|Sci-Fi
3138;316;3.5;1085508840;Stargate (1994);Action|Adventure|Sci-Fi
3139;316;1.5;1134979260;Stargate (1994);Action|Adventure|Sci-Fi
3140;316;3.0;835065214;Stargate (1994);Action|Adventure|Sci-Fi
3142;316;4.0;913664555;Stargate (1994);Action|Adventure|Sci-Fi
3147;316;2.0;1023826153;Stargate (1994);Action|Adventure|Sci-Fi
3148;316;4.0;1085509312;Stargate (1994);Action|Adventure|Sci-Fi
3149;316;2.0;1135006376;Stargate (1994);Action|Adventure|Sci-Fi
3150;316;4.0;844642078;Stargate (1994);Action|Adventure|Sci-Fi
3156;316;3.0;831897424;Stargate (1994);Action|Adventure|Sci-Fi
3163;316;2.0;982340335;Stargate (1994);Action|Adventure|Sci-Fi
3164;316;3.5;1085552070;Stargate (1994);Action|Adventure|Sci-Fi
3166;316;4.0;844643079;Stargate (1994);Action|Adventure|Sci-Fi
3170;316;4.0;1051229436;Stargate (1994);Action|Adventure|Sci-Fi
3173;316;2.0;832226207;Stargate (1994);Action|Adventure|Sci-Fi
3174;316;3.0;1011681041;Stargate (1994);Action|Adventure|Sci-Fi
3178;316;1.0;844644767;Stargate (1994);Action|Adventure|Sci-Fi
3184;316;3.0;844645907;Stargate (1994);Action|Adventure|Sci-Fi
3188;316;4.0;831391700;Stargate (1994);Action|Adventure|Sci-Fi
3189;316;3.0;960832215;Stargate (1994);Action|Adventure|Sci-Fi
3194;316;3.0;835071920;Stargate (1994);Action|Adventure|Sci-Fi
3197;316;3.5;1112080012;Stargate (1994);Action|Adventure|Sci-Fi
3206;316;3.0;833021000;Stargate (1994);Action|Adventure|Sci-Fi
3210;316;4.0;844646207;Stargate (1994);Action|Adventure|Sci-Fi
3211;316;3.0;858298928;Stargate (1994);Action|Adventure|Sci-Fi
3215;316;2.0;982351119;Stargate (1994);Action|Adventure|Sci-Fi
3219;316;3.0;952752403;Stargate (1994);Action|Adventure|Sci-Fi
3220;316;3.0;1088550654;Stargate (1994);Action|Adventure|Sci-Fi
3221;316;5.0;1051601048;Stargate (1994);Action|Adventure|Sci-Fi
3237;316;3.0;844647820;Stargate (1994);Action|Adventure|Sci-Fi
3241;316;4.0;839240846;Stargate (1994);Action|Adventure|Sci-Fi
3242;316;3.0;868471139;Stargate (1994);Action|Adventure|Sci-Fi
3248;316;3.0;835077166;Stargate (1994);Action|Adventure|Sci-Fi
3249;316;3.0;913675617;Stargate (1994);Action|Adventure|Sci-Fi
3250;316;1.0;1051253252;Stargate (1994);Action|Adventure|Sci-Fi
3260;316;5.0;835077507;Stargate (1994);Action|Adventure|Sci-Fi
3261;316;4.0;844652279;Stargate (1994);Action|Adventure|Sci-Fi
